"Scus94491BpeSegment::scriptSetIndicatorsDisabled","in","bool","disabled","True to disable indicators","none"
"Battle::FUN_800db688","in","int","stepType","Two 2-bit packed values for X and Y respectively","none"
"Battle::FUN_800db688","in","int","scriptIndex","Only used in some modes, the scripted object used in calculations","none"
"Battle::FUN_800db79c","in","int","mode","How the camera moves","none"
"Battle::FUN_800db79c","in","int","x","If mode is even, 8-bit fixed-point position; if odd, PSX degree angle","none"
"Battle::FUN_800db79c","in","int","y","If mode is even, 8-bit fixed-point position; if odd, PSX degree angle","none"
"Battle::FUN_800db79c","in","int","z","8-bit fixed-point position","none"
"Battle::FUN_800db79c","in","int","initialStepZ, 8-bit fixed-point","","none"
"Battle::FUN_800db79c","in","int","finalStepZ, 8-bit fixed-point","","none"
"Battle::FUN_800db79c","in","int","stepType","Two 2-bit packed values for X and Y respectively","none"
"Battle::FUN_800db79c","in","int","scriptIndex","Only used in some modes, the scripted object used in calculations","none"
"Battle::scriptCameraAccelerateViewpoint","in","int","mode","How the camera moves","none"
"Battle::scriptCameraAccelerateViewpoint","in","int","x","If mode is even, 8-bit fixed-point position; if odd, PSX degree angle","none"
"Battle::scriptCameraAccelerateViewpoint","in","int","y","If mode is even, 8-bit fixed-point position; if odd, PSX degree angle","none"
"Battle::scriptCameraAccelerateViewpoint","in","int","z","8-bit fixed-point position","none"
"Battle::scriptCameraAccelerateViewpoint","in","int","ticks","Duration of movement","none"
"Battle::scriptCameraAccelerateViewpoint","in","int","stepSmoothingMode","","none"
"Battle::scriptCameraAccelerateViewpoint","in","int","stepZ","8-bit fixed-point","none"
"Battle::scriptCameraAccelerateViewpoint","in","int","stepType","Two 2-bit packed values for X and Y respectively","none"
"Battle::scriptCameraAccelerateViewpoint","in","int","scriptIndex","Only used in some modes, the scripted object used in calculations","none"
"Battle::scriptCameraAccelerateRefpoint","in","int","mode","How the camera moves","none"
"Battle::scriptCameraAccelerateRefpoint","in","int","x","If mode is even, 8-bit fixed-point position; if odd, PSX degree angle","none"
"Battle::scriptCameraAccelerateRefpoint","in","int","y","If mode is even, 8-bit fixed-point position; if odd, PSX degree angle","none"
"Battle::scriptCameraAccelerateRefpoint","in","int","z","8-bit fixed-point position","none"
"Battle::scriptCameraAccelerateRefpoint","in","int","ticks","Duration of movement","none"
"Battle::scriptCameraAccelerateRefpoint","in","int","stepSmoothingMode","","none"
"Battle::scriptCameraAccelerateRefpoint","in","int","stepZ","8-bit fixed-point","none"
"Battle::scriptCameraAccelerateRefpoint","in","int","stepType","Two 2-bit packed values for X and Y respectively","none"
"Battle::scriptCameraAccelerateRefpoint","in","int","scriptIndex","Only used in some modes, the scripted object used in calculations","none"
"Battle::scriptIsCameraMoving","in","int","type","0 = viewpoint moving, 1 = refpoint moving","none"
"Battle::scriptIsCameraMoving","out","bool","isMoving","","none"
"Battle::scriptCalculateCameraValue","in","int","type","0 = viewpoint, 1 = refpoint","none"
"Battle::scriptCalculateCameraValue","in","int","mode","Which calculation to perform","none"
"Battle::scriptCalculateCameraValue","in","int","component","0 = X, 1 = Y, 2 = Z","none"
"Battle::scriptCalculateCameraValue","in","int","scriptIndex","Only used in some modes, the scripted object used in calculations (or -1 for none)","none"
"Battle::scriptCalculateCameraValue","out","int","out","If mode is even, values are 8-bit fixed-point; if mode is odd, values are PSX degrees","none"
"Battle::FUN_800dbb9c","in","int","?","","none"
"Battle::FUN_800dbb9c","in","int","?","","none"
"Battle::scriptWobbleCamera","in","int","frames","The number of frames to perform the wobble","none"
"Battle::scriptWobbleCamera","in","int","framesUntilWobble","The number of frames until the wobble starts","none"
"Battle::scriptWobbleCamera","in","int","x","Wobble offset X","none"
"Battle::scriptWobbleCamera","in","int","y","Wobble offset Y","none"
"Battle::scriptStopCameraMovement","in","int","type","0 = viewpoint, 1 = refpoint","none"
"Battle::scriptSetViewportTwist","in","int","twist","The new viewpoint twist","none"
"Battle::scriptStopCameraZAcceleration","in","int","type","Bitfield, 0x1 = viewpoint, 0x2 = refpoint","none"
"Battle::scriptSetCameraProjectionPlaneDistance","in","int","distance","The projection plane distance","none"
"Battle::scriptGetProjectionPlaneDistance","out","int","distance","The projection plane distance","none"
"Battle::scriptMoveCameraProjectionPlane","in","int","mode","How the camera should move","none"
"Battle::scriptMoveCameraProjectionPlane","in","int","newDistance","The new projection plane distance","none"
"Battle::scriptMoveCameraProjectionPlane","in","int","frames","The number of frames it should take to change the distance","none"
"Battle::scriptMoveCameraProjectionPlane","in","int","stepZ1","","none"
"SMap::scriptSelfLoadSobjModelAndAnimation","in","int","objectIndex","The map object index (0-n)","none"
"SMap::scriptSelfLoadSobjAnimation","in","int","animIndex","The anim index","none"
"SMap::scriptSelfGetSobjAnimation","out","int","animIndex","The anim index","none"
"SMap::scriptSelfToggleAnimationDisabled","in","bool","disabled","Whether or not the animation is disabled","none"
"SMap::scriptSelfIsAnimationFinished","out","int","value","The value","none"
"SMap::scriptSetModelPosition","in","int","scriptIndex","The SubmapObject210 script index","none"
"SMap::scriptSetModelPosition","in","float","x","The new X coordinate","none"
"SMap::scriptSetModelPosition","in","float","y","The new Y coordinate","none"
"SMap::scriptSetModelPosition","in","float","z","The new Z coordinate","none"
"SMap::scriptReadModelPosition","in","int","scriptIndex","The SubmapObject210 script index","none"
"SMap::scriptReadModelPosition","out","float","x","The X coordinate","none"
"SMap::scriptReadModelPosition","out","float","y","The Y coordinate","none"
"SMap::scriptReadModelPosition","out","float","z","The Z coordinate","none"
"SMap::scriptSetModelRotate","in","int","scriptIndex","The SubmapObject210 script index","none"
"SMap::scriptSetModelRotate","in","int","x","The new X rotation (PSX degrees)","none"
"SMap::scriptSetModelRotate","in","int","y","The new Y rotation (PSX degrees)","none"
"SMap::scriptSetModelRotate","in","int","z","The new Z rotation (PSX degrees)","none"
"SMap::scriptReadModelRotate","in","int","scriptIndex","The SubmapObject210 script index","none"
"SMap::scriptReadModelRotate","out","int","x","The X rotation (PSX degrees)","none"
"SMap::scriptReadModelRotate","out","int","y","The Y rotation (PSX degrees)","none"
"SMap::scriptReadModelRotate","out","int","z","The Z rotation (PSX degrees)","none"
"SMap::scriptSelfFacePoint","in","int","x","The X position to face","none"
"SMap::scriptSelfFacePoint","in","int","y","The Y position to face","none"
"SMap::scriptSelfFacePoint","in","int","z","The Z position to face","none"
"SMap::scriptSelfSetSobjHidden","in","int","value","The new value","none"
"SMap::scriptSelfMoveToPosition","in","int","x","Movement destination X","none"
"SMap::scriptSelfMoveToPosition","in","int","y","Movement destination Y","none"
"SMap::scriptSelfMoveToPosition","in","int","z","Movement destination Z","none"
"SMap::scriptSelfMoveToPosition","in","int","movementTicks","The number of frames over which to move","none"
"SMap::scriptSelfMoveAlongArc","in","int","x","Use unknown","none"
"SMap::scriptSelfMoveAlongArc","in","int","y","Use unknown","none"
"SMap::scriptSelfMoveAlongArc","in","int","z","Use unknown","none"
"SMap::scriptSelfMoveAlongArc","in","int","i_144","Use unknown","none"
"SMap::scriptCheckSelfCollision","out","int","collisionPrimitiveIndex","The collision primitive index that the submap object is intersecting","none"
"SMap::FUN_800df500","out","int","value","Return value","none"
"SMap::scriptSelfSetIgnoreCollision","in","int","value","The new value","none"
"SMap::FUN_800df560","in","int","animatedTextureIndex","The animated texture index","none"
"SMap::scriptSelfEnableTextureAnimation","in","int","animatedTextureIndex","The animated texture index","none"
"SMap::FUN_800df590","out","int","value","Unknown","none"
"SMap::scriptSelfDisableTextureAnimation","in","int","animatedTextureIndex","The animated texture index","none"
"SMap::scriptSelfGetMovementType","out","int","value","The return value","none"
"SMap::scriptSelfAttachCameraToSobj","in","bool","attach","True to attach, false to detach","none"
"SMap::scriptSelfIsCameraAttached","out","bool","attached","True if attached, false otherwise","none"
"SMap::scriptSetCameraPos","in","int","x","The new camera X position","none"
"SMap::scriptSetCameraPos","in","int","y","The new camera Y position","none"
"SMap::scriptSetCameraPos","in","int","z","The new camera Z position","none"
"SMap::scriptRotateSobj","in","int","scriptIndex","The SubmapObject210 script index","none"
"SMap::scriptRotateSobj","in","int","x","The relative X rotation (PSX degrees)","none"
"SMap::scriptRotateSobj","in","int","y","The relative Y rotation (PSX degrees)","none"
"SMap::scriptRotateSobj","in","int","z","The relative Z rotation (PSX degrees)","none"
"SMap::scriptRotateSobj","in","int","frames","The number of frames before the rotation completes","none"
"SMap::scriptRotateSobjAbsolute","in","int","scriptIndex","The SubmapObject210 script index","none"
"SMap::scriptRotateSobjAbsolute","in","int","x","The absolute X rotation per frame (PSX degrees)","none"
"SMap::scriptRotateSobjAbsolute","in","int","y","The absolute Y rotation per frame (PSX degrees)","none"
"SMap::scriptRotateSobjAbsolute","in","int","z","The absolute Z rotation per frame (PSX degrees)","none"
"SMap::scriptRotateSobjAbsolute","in","int","frames","The number of frames before the rotation completes","none"
"SMap::scriptSelfMoveAlongArc2","in","int","x","Movement destination X","none"
"SMap::scriptSelfMoveAlongArc2","in","int","y","Movement destination Y","none"
"SMap::scriptSelfMoveAlongArc2","in","int","z","Movement destination Z","none"
"SMap::scriptSelfMoveAlongArc2","in","int","ticks","Movement ticks","none"
"SMap::scriptSelfMoveAlongArc2","in","int","stepAccelerationY","Y step acceleration","none"
"SMap::scriptMovePlayer","in","int","x","Delta X position","none"
"SMap::scriptMovePlayer","in","int","y","Delta Y position","none"
"SMap::scriptMovePlayer","in","int","z","Delta Z position","none"
"SMap::FUN_800df9a8","in","int","scriptIndex","The SubmapObject210 script index","none"
"SMap::FUN_800df9a8","out","int","x0","Screen X (head?)","none"
"SMap::FUN_800df9a8","out","int","y0","Screen Y (head?)","none"
"SMap::FUN_800df9a8","out","int","x1","Screen X (feet?)","none"
"SMap::FUN_800df9a8","out","int","y1","Screen Y (feet?)","none"
"SMap::scriptGetCurrentSubmapId","out","int","submapId","The current submap id","none"
"SMap::scriptSelfGetSobjNobj","in","int","numberOfParts","The number of model parts","none"
"Battle::scriptSetBentPos","in","int","bentIndex","The BattleEntity27c script index","none"
"Battle::scriptSetBentPos","in","int","x","The X position","none"
"Battle::scriptSetBentPos","in","int","y","The Y position","none"
"Battle::scriptSetBentPos","in","int","z","The Z position","none"
"Battle::scriptGetBentPos","in","int","bentIndex","The BattleEntity27c script index","none"
"Battle::scriptGetBentPos","out","int","x","The X position","none"
"Battle::scriptGetBentPos","out","int","y","The Y position","none"
"Battle::scriptGetBentPos","out","int","z","The Z position","none"
"Battle::scriptSetBentRotation","in","int","bentIndex","The BattleEntity27c script index","none"
"Battle::scriptSetBentRotation","in","int","x","The X rotation (PSX degrees)","none"
"Battle::scriptSetBentRotation","in","int","y","The Y rotation (PSX degrees)","none"
"Battle::scriptSetBentRotation","in","int","z","The Z rotation (PSX degrees)","none"
"Battle::FUN_800cc7d8","in","int","bentIndex","The BattleEntity27c script index","none"
"Battle::scriptSetBentRotationY","in","int","bentIndex","The BattleEntity27c script index","none"
"Battle::scriptSetBentRotationY","in","int","y","The Y rotation (PSX degrees)","none"
"Battle::scriptGetBentRotation","in","int","bentIndex","The BattleEntity27c script index","none"
"Battle::scriptGetBentRotation","out","int","x","The X rotation (PSX degrees)","none"
"Battle::scriptGetBentRotation","out","int","y","The Y rotation (PSX degrees)","none"
"Battle::scriptGetBentRotation","out","int","z","The Z rotation (PSX degrees)","none"
"Battle::scriptGetMonsterStatusResistFlags","in","int","bentIndex","The BattleEntity27c script index","none"
"Battle::scriptGetMonsterStatusResistFlags","out","int","flags","The status resist flags","none"
"Battle::scriptSetBentHidden","in","int","bentIndex","The BattleEntity27c script index","none"
"Battle::scriptSetBentHidden","in","bool","set","True to set the flag, false otherwise","none"
"Battle::scriptSetInterpolationEnabled","in","int","bentIndex","The BattleEntity27c script index","none"
"Battle::scriptSetInterpolationEnabled","in","bool","set","True to enable interpolation, false otherwise","none"
"Battle::FUN_800cb6bc","in","int","bentIndex","The BattleEntity27c script index","none"
"Battle::FUN_800cb6bc","in","bool","animIndex","The animation index","none"
"Battle::FUN_800cb764","in","int","unused","","none"
"Battle::FUN_800cb76c","in","int","bentIndex","The BattleEntity27c script index","none"
"Battle::scriptGetLoadingBentAnimationIndex","in","int","bentIndex","The BattleEntity27c script index","none"
"Battle::scriptGetLoadingBentAnimationIndex","out","int","animationIndex","The animation index","none"
"Battle::scriptPauseAnimation","in","int","bentIndex","The BattleEntity27c script index","none"
"Battle::scriptResumeAnimation","in","int","bentIndex","The BattleEntity27c script index","none"
"Battle::scriptSetBentAnimationLoopState","in","int","bentIndex","The BattleEntity27c script index","none"
"Battle::scriptSetBentAnimationLoopState","in","bool","loop","True to enable looping, false to disable","none"
"Battle::scriptAnimationHasFinished","in","int","bentIndex","The BattleEntity27c script index","none"
"Battle::scriptAnimationHasFinished","out","bool","finished","True if finished, false otherwise","none"
"Battle::FUN_800cbb00","in","int","childBentIndex","A BattleEntity27c script index","none"
"Battle::FUN_800cbb00","in","int","parentBentIndex","A BattleEntity27c script index (-1 for no parent)","none"
"Battle::FUN_800cbb00","in","int","ticks","","none"
"Battle::FUN_800cbb00","in","int","x","","none"
"Battle::FUN_800cbb00","in","int","y","","none"
"Battle::FUN_800cbb00","in","int","z","","none"
"Battle::FUN_800cbc14","in","int","childBentIndex","A BattleEntity27c script index","none"
"Battle::FUN_800cbc14","in","int","parentBentIndex","A BattleEntity27c script index (-1 for no parent)","none"
"Battle::FUN_800cbc14","in","int","ticks","","none"
"Battle::FUN_800cbc14","in","int","x","","none"
"Battle::FUN_800cbc14","in","int","y","","none"
"Battle::FUN_800cbc14","in","int","z","","none"
"Battle::FUN_800cbde0","in","int","childBentIndex","A BattleEntity27c script index","none"
"Battle::FUN_800cbde0","in","int","parentBentIndex","A BattleEntity27c script index (-1 for no parent)","none"
"Battle::FUN_800cbde0","in","int","ticks","","none"
"Battle::FUN_800cbde0","in","int","x","","none"
"Battle::FUN_800cbde0","in","int","y","","none"
"Battle::FUN_800cbde0","in","int","z","","none"
"Battle::FUN_800cbef8","in","int","childBentIndex","A BattleEntity27c script index","none"
"Battle::FUN_800cbef8","in","int","parentBentIndex","A BattleEntity27c script index (-1 for no parent)","none"
"Battle::FUN_800cbef8","in","int","ticks","","none"
"Battle::FUN_800cbef8","in","int","x","","none"
"Battle::FUN_800cbef8","in","int","y","","none"
"Battle::FUN_800cbef8","in","int","z","","none"
"Battle::FUN_800cc0c8","in","int","childBentIndex","A BattleEntity27c script index","none"
"Battle::FUN_800cc0c8","in","int","parentBentIndex","A BattleEntity27c script index (-1 for no parent)","none"
"Battle::FUN_800cc0c8","in","int","ticks","","none"
"Battle::FUN_800cc0c8","in","int","x","","none"
"Battle::FUN_800cc0c8","in","int","z","","none"
"Battle::FUN_800cc1cc","in","int","childBentIndex","A BattleEntity27c script index","none"
"Battle::FUN_800cc1cc","in","int","parentBentIndex","A BattleEntity27c script index (-1 for no parent)","none"
"Battle::FUN_800cc1cc","in","int","ticks","","none"
"Battle::FUN_800cc1cc","in","int","x","","none"
"Battle::FUN_800cc1cc","in","int","z","","none"
"Battle::FUN_800cc364","in","int","childBentIndex","A BattleEntity27c script index","none"
"Battle::FUN_800cc364","in","int","parentBentIndex","A BattleEntity27c script index (-1 for no parent)","none"
"Battle::FUN_800cc364","in","int","ticks","","none"
"Battle::FUN_800cc364","in","int","x","","none"
"Battle::FUN_800cc364","in","int","z","","none"
"Battle::FUN_800cc46c","in","int","childBentIndex","A BattleEntity27c script index","none"
"Battle::FUN_800cc46c","in","int","parentBentIndex","A BattleEntity27c script index (-1 for no parent)","none"
"Battle::FUN_800cc46c","in","int","ticks","","none"
"Battle::FUN_800cc46c","in","int","x","","none"
"Battle::FUN_800cc46c","in","int","z","","none"
"Battle::scriptBentLookAtBent","in","int","bentIndexToTurn","A BattleEntity27c script index to turn","none"
"Battle::scriptBentLookAtBent","in","int","bentIndexTarget","A BattleEntity27c script index to target","none"
"Battle::FUN_800cc698","in","int","bentIndex0","A BattleEntity27c script index","none"
"Battle::FUN_800cc698","in","int","bentIndex1","A BattleEntity27c script index","none"
"Battle::FUN_800cc698","in","int","ticks","","none"
"Battle::FUN_800cc784","in","int","bentIndex","The BattleEntity27c script index","none"
"Battle::scriptLoadAttackAnimations","in","int","bentIndex","The BattleEntity27c script index","none"
"Battle::scriptSetUpAndHandleCombatMenu","out","int","selectedAction","The action the player has selected (defend, transform, d-magic, attack, item, run, special, ?, d-attack)","none"
"Battle::scriptRenderDamage","in","int","bentIndex","The BattleEntity27c script index","none"
"Battle::scriptRenderDamage","in","int","damage","The amount of damage done","none"
"Battle::scriptAddFloatingNumberForBent","in","int","bentIndex","The BattleEntity27c script index","none"
"Battle::scriptAddFloatingNumberForBent","in","int","value","The number to show","none"
"Battle::FUN_800ccba4","in","int","bentIndex","The BattleEntity27c script index","none"
"Battle::FUN_800ccba4","in","bool","isDragoon","Whether or not the battle entity is a dragoon","none"
"Battle::scriptGetCharOrMonsterId","in","int","bentIndex","The BattleEntity27c script index","none"
"Battle::scriptGetCharOrMonsterId","out","int","id","The character or monster ID","none"
"Battle::scriptSetBentStat","in","int","bentIndex","The BattleEntity27c script index","none"
"Battle::scriptSetBentStat","in","int","value","The new stat value","none"
"Battle::scriptSetBentStat","in","legend.game.combat.bent.BattleEntityStat","statIndex","The stat index","none"
"Battle::scriptGetBentStat","in","int","bentIndex","The BattleEntity27c script index","none"
"Battle::scriptGetBentStat","in","legend.game.combat.bent.BattleEntityStat","statIndex","The stat index","none"
"Battle::scriptGetBentStat","out","int","value","The stat value","none"
"Battle::scriptSetPostBattleAction","in","int","action","The post-battle action","none"
"Battle::scriptSetBattleHudVisibility","in","bool","visible","True to show HUD, false to hide","none"
"Battle::scriptSetBentDeadAndDropLoot","in","int","bentIndex","The BattleEntity27c script index","none"
"Battle::scriptSetBentDeadAndDropLoot","in","bool","dead","True for dead, false otherwise","none"
"Battle::scriptGetHitProperty","in","int","bentIndex","The BattleEntity27c script index","none"
"Battle::scriptGetHitProperty","in","int","hitNum","The hit number","none"
"Battle::scriptGetHitProperty","in","int","hitPropertyIndex","The hit property index","none"
"Battle::scriptGetHitProperty","out","int","value","The hit property value","none"
"Battle::scriptSetBentDead","in","int","bentIndex","The BattleEntity27c script index","none"
"Battle::scriptSetBentDead","in","bool","dead","True for dead, false otherwise","none"
"Battle::scriptLevelUpAddition","in","int","bentIndex","The BattleEntity27c script index","none"
"Battle::scriptLevelUpAddition","in","bool","doIt","If false, this method does nothing","none"
"Battle::scriptGetBentStat2","in","int","bentIndex","The BattleEntity27c script index","none"
"Battle::scriptGetBentStat2","in","legend.game.combat.bent.BattleEntityStat","statIndex","The stat index","none"
"Battle::scriptGetBentStat2","out","int","value","The stat value","none"
"Battle::scriptSetBentRawStat","in","int","bentIndex","The BattleEntity27c script index","none"
"Battle::scriptSetBentRawStat","in","int","value","The new stat value","none"
"Battle::scriptSetBentRawStat","in","legend.game.combat.bent.BattleEntityStat","statIndex","The stat index","none"
"Text::scriptGetFreeTextboxIndex","out","int","textboxIndex","Textbox index, or -1 if none are free","none"
"Text::scriptInitTextbox","in","int","textboxIndex","The textbox index","none"
"Text::scriptInitTextbox","in","int","p1","","none"
"Text::scriptInitTextbox","in","int","x","The textbox x","none"
"Text::scriptInitTextbox","in","int","y","The textbox y","none"
"Text::scriptInitTextbox","in","int","width","The textbox width","none"
"Text::scriptInitTextbox","in","int","height","The textbox height","none"
"Text::scriptSetTextboxContents","in","int","index","The textbox index","none"
"Text::scriptSetTextboxContents","in","int","type","The textbox type","none"
"Text::scriptSetTextboxContents","in","string","text","The textbox text","none"
"Text::scriptIsTextboxInitialized","in","int","index","The textbox index","none"
"Text::scriptIsTextboxInitialized","out","bool","initialized","0 for false, non-zero for true","none"
"Text::scriptGetTextboxState","in","int","index","The textbox index","none"
"Text::scriptGetTextboxState","out","int","state","The textbox state","none"
"Text::scriptGetTextboxTextState","in","int","index","The textbox index","none"
"Text::scriptGetTextboxTextState","out","int","state","The textbox text state","none"
"SMap::scriptAddSobjTextbox","in","int","index","The textbox index","none"
"SMap::scriptAddSobjTextbox","in","int","submapObjectIndex","The submap object, but may also have the flag 0x1000 set (unknown meaning)","none"
"SMap::scriptAddSobjTextbox","in","int","packedData","Bit flags for textbox properties","none"
"SMap::scriptAddSobjTextbox","in","int","width","The textbox width","none"
"SMap::scriptAddSobjTextbox","in","int","height","The textbox height","none"
"SMap::scriptAddSobjTextbox","in","string","text","The textbox text","none"
"Text::scriptSetTextboxVariable","in","int","index","The variable index","none"
"Text::scriptSetTextboxVariable","in","int","value","","none"
"Text::scriptAddTextbox","in","int","index","The textbox index","none"
"Text::scriptAddTextbox","in","int","packedData","Bit flags for textbox properties","none"
"Text::scriptAddTextbox","in","int","x","The textbox x","none"
"Text::scriptAddTextbox","in","int","y","The textbox y","none"
"Text::scriptAddTextbox","in","int","width","The textbox width","none"
"Text::scriptAddTextbox","in","int","height","The textbox height","none"
"Text::scriptAddTextbox","in","string","text","The textbox text","none"
"Text::scriptDeallocateTextbox","in","int","index","The textbox index","none"
"Text::FUN_80029ecc","in","int","index","The textbox index","none"
"Text::FUN_80028ff8","out","int","ret","Always set to 0","none"
"Text::scriptGetTextboxSelectionIndex","in","int","index","The textbox index","none"
"Text::scriptGetTextboxSelectionIndex","out","int","selectionIndex","The selected line index","none"
"Text::scriptGetTextboxElement","in","int","index","The textbox index","none"
"Text::scriptGetTextboxElement","out","int","value","","none"
"Text::scriptAddSelectionTextbox","in","int","index","The textbox index","none"
"Text::scriptAddSelectionTextbox","in","int","minSelectionIndex","The first selectable line index","none"
"Text::scriptAddSelectionTextbox","in","int","maxSelectionIndex","The last selectable line index","none"
"Audio::scriptLoadCharAttackSounds","in","int","bentIndex","The BattleEntity27c index","none"
"Audio::scriptLoadCharAttackSounds","in","int","type","The attack sounds type, 1 for regular, any other value for dragoon","none"
"Audio::FUN_8001eb30","in","int","unused","","none"
"Audio::scriptLoadBattleCutsceneSounds","in","int","cutsceneIndex","The cutscene index","none"
"Audio::scriptLoadMonsterAttackSounds","in","int","monsterIndex","The monster index","none"
"Audio::scriptLoadMusicPackage","in","int","musicIndex","The music index","none"
"Audio::scriptLoadMusicPackage","in","bool","dontStartSequence","If true, the sequence will not be started automatically","none"
"Audio::FUN_8001fe28","in","int","musicIndex","The music index","none"
"Audio::FUN_8001fe28","in","int","p1","","none"
"Audio::scriptUnloadSoundFile","in","int","soundType","The sound type","none"
"Audio::scriptUnuseCharSoundFile","in","int","bentIndex","The BattleEntity27c index","none"
